#{"t_start": 1774733472.6771674, "env_id": "None"}
r,l,t
115.0,11,1.886472
-10.0,9,1.891535
-45.0,8,1.895594
95.0,8,1.899635
110.0,19,1.90994
-17.0,10,1.913944
-60.0,3,1.91841
55.0,6,1.921506
-33.0,9,1.926069
60.0,9,1.93113
93.0,9,1.93613
-20.0,5,1.93813
45.0,5,1.94113
25.0,7,1.94513
-65.0,9,1.950623
-105.0,6,1.954865
-7.0,5,1.958957
0.0,8,1.965013
38.0,10,1.971012
-100.0,5,1.973013
-25.0,5,1.976012
-170.0,12,1.983292
-3.0,5,1.98552
8.0,8,1.990669
-2.0,9,1.99471
79.0,14,2.001727
-77.0,10,2.006727
45.0,10,2.01173
65.0,10,2.018101
-34.0,9,2.02215
2.0,8,2.027317
-50.0,6,2.030845
48.0,8,2.034887
21.0,10,2.040058
76.0,15,2.048231
93.0,11,2.053285
94.0,13,2.060945
100.0,13,2.067007
-10.0,10,2.072059
32.0,9,2.088752
-25.0,10,2.096112
131.0,17,2.104111
-30.0,5,2.10931
-14.0,10,2.115876
63.0,9,2.120951
56.0,10,2.126162
48.0,8,2.130625
90.0,7,2.134687
48.0,13,2.140829
43.0,8,2.145178
7.0,13,2.152182
55.0,8,2.156646
40.0,6,2.160709
-32.0,10,2.165856
-72.0,9,2.17091
-77.0,13,2.176911
159.0,11,2.18291
-7.0,10,2.189658
-40.0,14,2.195815
-82.0,9,2.201049
-50.0,6,2.205501
-40.0,7,2.208798
-30.0,8,2.213193
18.0,13,2.218792
65.0,7,2.223
-15.0,6,2.226506
0.0,10,2.23151
80.0,12,2.23751
-30.0,5,2.24051
49.0,14,2.24751
93.0,13,2.255414
18.0,6,2.260019
-25.0,6,2.263307
-62.0,12,2.269894
158.0,13,2.276632
62.0,10,2.282549
82.0,9,2.286963
30.0,7,2.290243
-12.0,9,2.294548
-65.0,6,2.297775
35.0,9,2.302152
53.0,7,2.306564
78.0,9,2.310951
-85.0,5,2.314016
-80.0,6,2.31911
25.0,9,2.326864
-40.0,9,2.333868
