#{"t_start": 1774736329.1589391, "env_id": "None"}
r,l,t
115.0,11,0.072855
-10.0,9,0.099489
-45.0,8,0.116737
95.0,8,0.136504
110.0,19,0.17648
-17.0,10,0.197278
-60.0,3,0.215494
55.0,6,0.230619
-33.0,9,0.252818
60.0,9,0.273184
93.0,9,0.292778
-20.0,5,0.304823
45.0,5,0.316764
25.0,7,0.332121
-65.0,9,0.350086
-105.0,6,0.362919
-7.0,5,0.374586
0.0,8,0.391844
38.0,10,0.419446
-100.0,5,0.430645
-25.0,5,0.442609
-170.0,12,0.465919
-3.0,5,0.480299
8.0,8,0.505384
-2.0,9,0.539256
79.0,14,0.605568
-77.0,10,0.630528
45.0,10,0.652398
65.0,10,0.677233
-34.0,9,0.699216
2.0,8,0.717064
-50.0,6,0.737879
48.0,8,0.761847
21.0,10,0.792142
76.0,15,0.824522
93.0,11,0.85574
94.0,13,0.878766
100.0,13,0.895865
-10.0,10,0.91801
32.0,9,0.941517
-25.0,10,0.969343
131.0,17,1.015205
-30.0,5,1.031404
-14.0,10,1.063565
63.0,9,1.085015
56.0,10,1.106627
48.0,8,1.125886
90.0,7,1.14515
48.0,13,1.173981
43.0,8,1.192211
7.0,13,1.224243
55.0,8,1.244366
40.0,6,1.259083
-32.0,10,1.283231
-72.0,9,1.303735
-77.0,13,1.336569
159.0,11,2.406319
-7.0,10,2.427707
15.0,15,2.456738
-35.0,6,2.470366
-30.0,8,2.487936
-40.0,7,2.502973
65.0,9,2.521
110.0,10,2.542357
70.0,9,2.561823
5.0,8,2.579686
60.0,9,2.598084
132.0,10,2.619321
-25.0,7,2.636016
38.0,12,2.661598
128.0,12,2.684998
0.0,5,2.695513
65.0,9,2.714386
5.0,7,2.73005
143.0,13,2.755626
128.0,14,2.78345
87.0,10,2.80523
130.0,10,2.827514
113.0,6,2.840931
-54.0,9,2.858085
138.0,6,2.871448
65.0,10,2.891991
60.0,8,2.910841
-17.0,10,2.932032
65.0,8,2.949889
50.0,8,2.967469
126.0,12,2.990784
78.0,10,3.012333
102.0,11,3.035039
100.0,9,3.054239
60.0,10,3.075125
2.0,8,3.093396
0.0,9,3.112298
45.0,9,3.131623
-40.0,7,3.147283
160.0,9,3.166459
