#{"t_start": 1774736947.483329, "env_id": "None"}
r,l,t
115.0,11,0.06634
-10.0,9,0.089978
-45.0,8,0.105793
95.0,8,0.119235
110.0,19,0.146262
-17.0,10,0.158897
-60.0,3,0.164053
55.0,6,0.172254
-33.0,9,0.190246
60.0,9,0.21011
93.0,9,0.228256
-20.0,5,0.23937
45.0,5,0.251157
25.0,7,0.265549
-65.0,9,0.28358
-105.0,6,0.297006
-7.0,5,0.308788
0.0,8,0.325588
38.0,10,0.346823
-100.0,5,0.35826
-25.0,5,0.369464
-170.0,12,0.392942
-3.0,5,0.404417
8.0,8,0.422425
-2.0,9,0.440647
79.0,14,0.474388
-77.0,10,0.501266
45.0,10,0.525028
65.0,10,0.560967
-34.0,9,0.581977
2.0,8,0.600892
-50.0,6,0.617107
48.0,8,0.642827
21.0,10,0.666352
76.0,15,0.703524
93.0,11,0.732795
94.0,13,0.763237
100.0,13,0.794091
-10.0,10,0.833234
32.0,9,0.85546
-25.0,10,0.879696
131.0,17,0.919641
-30.0,5,0.931861
-14.0,10,0.95568
63.0,9,0.979325
56.0,10,1.002735
48.0,8,1.02215
90.0,7,1.040192
48.0,13,1.071273
43.0,8,1.090409
7.0,13,1.120115
55.0,8,1.140178
40.0,6,1.155602
-32.0,10,1.17906
-72.0,9,1.200671
-77.0,13,1.230244
159.0,11,1.256783
-7.0,10,1.280762
-40.0,14,1.313049
-82.0,9,1.334309
-50.0,6,1.351144
-40.0,7,1.366962
-30.0,8,1.385675
18.0,13,1.413092
65.0,7,1.424776
-15.0,6,1.432906
0.0,10,1.446906
80.0,12,1.47534
-30.0,5,1.486589
49.0,14,1.515275
93.0,13,1.542712
18.0,6,1.555212
-25.0,6,1.569844
-62.0,12,1.593636
158.0,13,1.620739
62.0,10,1.642147
82.0,9,1.661373
30.0,7,1.675794
-12.0,9,1.695001
-65.0,6,1.708898
35.0,9,1.736349
53.0,7,1.752135
78.0,9,1.771023
-85.0,5,1.782123
-80.0,6,1.795401
25.0,9,1.814871
-40.0,9,1.832547
62.0,8,1.850483
0.0,9,1.871718
10.0,6,1.885006
80.0,5,1.89617
99.0,11,1.919019
-10.0,7,1.934591
43.0,9,1.955899
-82.0,9,1.974687
10.0,9,1.994173
-60.0,9,2.012404
-45.0,6,2.026925
118.0,7,2.043974
50.0,11,2.067466
35.0,7,2.082096
4.0,13,2.108882
-15.0,6,2.121532
-65.0,9,2.141728
-85.0,7,2.157721
18.0,9,2.176644
60.0,10,2.198008
-42.0,9,2.216534
-115.0,8,2.233414
5.0,8,2.250639
-30.0,8,2.267509
93.0,9,2.2888
-15.0,8,2.306831
5.0,7,2.321957
-100.0,10,2.342258
30.0,9,2.361629
68.0,13,2.387482
55.0,8,2.404771
-21.0,11,2.426754
60.0,9,2.445769
28.0,9,2.464439
101.0,11,2.487833
-2.0,10,2.508484
5.0,6,2.52282
-85.0,5,2.533747
101.0,10,2.555944
211.0,11,2.58068
33.0,5,2.591776
98.0,6,2.605139
-40.0,12,2.630134
-42.0,10,2.650276
10.0,8,2.670547
30.0,7,2.686073
-45.0,5,2.698377
28.0,8,2.71587
146.0,10,2.736053
35.0,10,2.756319
-10.0,7,2.771945
133.0,9,2.791701
-19.0,13,2.81663
-80.0,7,2.851238
130.0,10,2.872416
-43.0,12,2.897097
40.0,13,2.923048
75.0,11,2.945537
60.0,9,2.967582
8.0,12,2.992072
-72.0,10,3.011839
118.0,12,3.038551
88.0,12,3.061979
-120.0,9,3.0812
-25.0,10,3.102656
45.0,9,3.12428
5.0,8,3.141212
5.0,11,3.164712
-90.0,6,3.176923
-5.0,8,3.193404
63.0,15,3.225105
58.0,6,3.238486
98.0,12,3.262707
45.0,5,3.273947
-30.0,5,3.285269
66.0,9,3.304276
-12.0,6,3.318349
0.0,6,3.330724
95.0,9,3.349929
-30.0,6,3.362385
133.0,13,3.391607
-12.0,6,3.405012
60.0,5,3.416707
111.0,15,3.447038
-90.0,9,3.466065
-70.0,8,3.482098
86.0,8,3.499929
45.0,3,3.506881
