#{"t_start": 1774713805.3145804, "env_id": "None"}
r,l,t
-60.0,9,0.0202
-95.0,9,0.022377
50.0,6,0.023496
-50.0,11,0.025703
43.0,9,0.030144
-5.0,8,0.03145
-45.0,11,0.033627
23.0,10,0.034722
0.0,10,0.039356
3.0,8,0.04156
165.0,13,0.044255
-95.0,7,0.045327
-100.0,5,0.048469
8.0,9,0.050609
-100.0,9,0.053313
-15.0,6,0.055667
145.0,10,0.060113
60.0,9,0.061195
-65.0,6,0.062286
25.0,9,0.063336
-30.0,5,0.067032
-57.0,9,0.069184
45.0,8,0.070205
21.0,11,0.072601
20.0,6,0.076836
-15.0,8,0.078997
10.0,7,0.081141
-55.0,7,0.082155
-105.0,9,0.085742
-90.0,6,0.087944
-80.0,10,0.090033
50.0,6,0.092299
-20.0,7,0.096484
-50.0,9,0.098783
-90.0,8,0.100038
58.0,10,0.101162
43.0,9,0.10446
-7.0,6,0.105548
-45.0,5,0.106601
122.0,18,0.109874
78.0,12,0.113196
40.0,11,0.115377
-7.0,6,0.116472
-15.0,6,0.117539
117.0,9,0.120775
75.0,8,0.12297
30.0,9,0.124059
2.0,22,0.127345
-85.0,5,0.129378
30.0,9,0.13173
36.0,12,0.134975
35.0,9,0.137085
-65.0,9,0.139742
5.0,9,0.14189
39.0,15,0.142981
45.0,12,0.145678
107.0,10,0.150968
25.0,9,0.152458
145.0,9,0.155737
5.0,7,0.156832
3.0,13,0.161194
45.0,12,0.163296
32.0,8,0.167872
65.0,9,0.168968
35.0,5,0.1722
118.0,13,0.174403
-140.0,7,0.175491
83.0,7,0.176581
-20.0,6,0.180976
-45.0,9,0.183771
70.0,9,0.185972
10.0,7,0.187028
47.0,9,0.190901
-50.0,9,0.191991
-15.0,9,0.193099
50.0,5,0.194194
-90.0,6,0.19774
83.0,8,0.198845
18.0,9,0.200908
-90.0,6,0.202013
-15.0,5,0.205457
-105.0,8,0.206549
-55.0,5,0.207642
40.0,5,0.208751
-90.0,6,0.21107
35.0,10,0.213209
-30.0,6,0.215421
93.0,9,0.217608
-45.0,6,0.221278
18.0,12,0.222369
90.0,7,0.224509
-65.0,8,0.225591
10.0,11,0.229401
-5.0,9,0.231841
75.0,9,0.234207
-22.0,10,0.237511
105.0,7,0.241153
73.0,8,0.242373
-10.0,7,0.244508
150.0,9,0.246143
65.0,8,0.249329
-15.0,8,0.251606
-100.0,5,0.251606
35.0,8,0.253788
-12.0,13,0.256137
-5.0,6,0.257626
10.0,9,0.259823
-47.0,7,0.260927
5.0,9,0.265314
-10.0,7,0.267504
-50.0,6,0.269981
46.0,9,0.272169
-65.0,6,0.27548
123.0,9,0.277673
-45.0,6,0.278763
-42.0,7,0.280966
-100.0,5,0.285246
-5.0,9,0.286337
8.0,12,0.289639
59.0,10,0.291824
141.0,9,0.295144
72.0,10,0.297325
20.0,10,0.299499
-25.0,7,0.300592
-77.0,10,0.30503
28.0,8,0.307226
-85.0,5,0.309402
100.0,6,0.311588
35.0,9,0.315854
96.0,8,0.316955
15.0,5,0.319157
45.0,6,0.320256
13.0,5,0.322449
43.0,12,0.324656
-140.0,10,0.325756
75.0,9,0.327953
-23.0,9,0.331351
45.0,8,0.33244
78.0,7,0.334649
71.0,9,0.335753
-12.0,10,0.339054
-20.0,9,0.341245
0.0,5,0.341245
-58.0,9,0.343428
-50.0,9,0.347161
74.0,15,0.349346
35.0,11,0.351548
55.0,6,0.351548
10.0,6,0.354849
120.0,14,0.357044
-50.0,6,0.357044
151.0,16,0.360324
-95.0,10,0.363532
