#{"t_start": 1774737337.9330404, "env_id": "None"}
r,l,t
106.0,14,6.813435
-40.0,5,6.821421
72.0,9,6.833871
-65.0,6,6.847192
120.0,9,6.861483
-25.0,7,6.87058
-55.0,5,6.879632
223.0,20,6.936497
31.0,8,6.947874
111.0,12,6.964248
55.0,15,6.983547
120.0,10,6.99832
95.0,9,7.010791
202.0,15,7.030156
134.0,23,7.050601
0.0,7,7.061116
85.0,11,7.078241
13.0,9,7.09493
33.0,13,7.116763
30.0,8,7.128286
146.0,11,7.148732
-10.0,9,7.167983
65.0,9,7.182371
138.0,5,7.192187
168.0,9,7.205531
-5.0,9,7.222732
50.0,6,7.2355
130.0,12,7.258692
23.0,7,7.272591
83.0,9,7.285108
148.0,9,7.30304
35.0,9,7.316094
80.0,9,7.332412
93.0,8,7.350304
-30.0,8,7.365162
158.0,9,7.386859
-37.0,9,7.398874
-70.0,5,7.406045
50.0,5,7.414044
80.0,10,7.427654
-10.0,8,7.439286
10.0,11,7.45281
31.0,9,7.467735
64.0,12,7.483771
-55.0,5,7.490563
-50.0,9,7.502991
60.0,11,7.517733
224.0,20,7.542789
73.0,10,7.555767
35.0,13,7.570523
63.0,10,7.579585
83.0,11,7.595454
43.0,5,7.602267
18.0,9,7.614768
35.0,6,7.621547
-27.0,9,7.634
43.0,7,7.643193
75.0,5,7.651146
108.0,8,7.661928
75.0,12,7.675513
137.0,14,7.699324
30.0,5,7.707224
150.0,11,7.722
-17.0,9,7.734473
28.0,9,7.745841
55.0,12,7.762278
21.0,16,7.780813
-25.0,7,7.791813
18.0,9,7.804767
183.0,9,7.81843
95.0,12,7.833903
83.0,10,7.84976
90.0,9,7.861769
-10.0,7,7.872026
88.0,8,7.883374
190.0,20,7.908325
116.0,9,7.920806
80.0,9,7.933352
3.0,5,7.941311
223.0,13,7.959779
63.0,8,7.974922
75.0,9,7.989962
5.0,10,8.003627
133.0,10,8.017857
32.0,9,8.031132
7.0,10,8.044952
0.0,9,8.057948
40.0,7,8.068159
25.0,10,8.082957
45.0,12,8.100145
20.0,8,8.11183
100.0,9,8.125421
-40.0,9,8.138313
110.0,10,8.151994
86.0,9,8.163847
130.0,6,8.174341
95.0,12,8.189193
-3.0,11,8.205197
87.0,16,8.228772
65.0,12,8.245908
25.0,7,8.256635
143.0,13,8.272307
17.0,8,8.283841
110.0,13,8.301137
80.0,6,8.309331
118.0,9,8.321816
102.0,15,8.341539
95.0,8,8.356053
1.0,11,8.386466
55.0,9,8.409281
65.0,9,8.426912
43.0,9,8.440563
25.0,10,8.455141
88.0,11,8.470634
38.0,14,8.490024
88.0,12,8.502504
110.0,8,8.508145
98.0,17,8.518298
218.0,10,8.525049
-55.0,5,8.528462
-12.0,6,8.53187
131.0,9,8.536384
36.0,11,8.5421
33.0,10,8.54922
128.0,14,8.559034
75.0,6,8.568041
45.0,5,8.577157
78.0,8,8.589853
-17.0,9,8.604365
45.0,9,8.620303
140.0,15,8.647489
148.0,9,8.664648
-55.0,12,8.690271
35.0,5,8.699899
86.0,7,8.717325
43.0,9,8.73436
-5.0,7,8.744944
5.0,9,8.758517
13.0,5,8.769004
71.0,11,8.784757
55.0,13,8.80284
119.0,10,8.818708
43.0,12,8.833451
60.0,9,8.844974
58.0,9,8.857301
11.0,11,8.87194
90.0,14,8.889812
7.0,9,8.903184
41.0,11,8.918252
-3.0,9,8.932324
108.0,10,8.947651
50.0,6,8.956537
-79.0,16,8.97805
-25.0,5,8.985049
45.0,8,8.996078
86.0,13,9.012947
-25.0,8,9.026388
90.0,8,9.03755
69.0,14,9.054138
-40.0,5,9.060819
-77.0,11,9.076475
198.0,14,9.096473
98.0,9,9.110651
148.0,9,9.122124
5.0,8,9.134658
23.0,7,9.146789
150.0,9,9.15963
-15.0,5,11.833275
130.0,10,11.847864
65.0,12,11.865518
130.0,11,11.88025
43.0,7,11.890314
-5.0,9,11.902522
115.0,7,11.912582
90.0,8,11.922623
50.0,9,11.934843
120.0,14,11.952691
111.0,13,11.970327
28.0,4,11.975881
105.0,8,11.987077
163.0,9,11.999831
70.0,9,12.01215
-40.0,5,12.018809
75.0,7,12.028849
-14.0,5,12.041066
83.0,9,12.053272
165.0,10,12.067016
223.0,16,12.088557
33.0,13,12.105145
189.0,16,12.128171
98.0,9,12.141896
168.0,8,12.154084
85.0,8,12.162702
121.0,15,12.173328
33.0,9,12.180244
-10.0,10,12.188178
90.0,7,12.198007
93.0,8,12.209152
-45.0,5,12.215856
-30.0,5,12.225131
78.0,7,12.234098
108.0,16,12.255012
133.0,9,12.268188
50.0,7,12.279615
93.0,9,12.29587
48.0,8,12.308575
10.0,8,12.319756
133.0,14,12.339322
113.0,8,12.351615
143.0,12,12.368143
-8.0,9,12.381878
35.0,8,12.394869
145.0,16,12.418098
142.0,11,12.437778
18.0,6,12.448189
118.0,9,12.465993
-38.0,9,12.483487
143.0,10,12.49908
-50.0,7,12.51265
125.0,16,12.537142
45.0,9,12.549597
65.0,13,12.569238
115.0,8,12.581762
38.0,9,12.596802
-20.0,8,12.60859
165.0,12,12.626554
-70.0,5,12.634858
41.0,9,12.647876
130.0,10,12.664075
30.0,9,12.679931
128.0,9,12.692888
