#{"t_start": 1774714095.9442787, "env_id": "None"}
r,l,t
30.0,5,1.050664
10.0,9,1.057457
171.0,10,1.066752
-7.0,9,1.071932
73.0,10,1.07596
186.0,10,1.085494
153.0,11,1.092906
-45.0,5,1.09598
45.0,9,1.101029
63.0,5,1.106218
93.0,5,1.111285
10.0,6,1.115405
-41.0,9,1.121021
120.0,9,1.157179
31.0,11,1.162621
-20.0,8,1.167769
55.0,8,1.173375
-85.0,10,1.182906
50.0,9,1.186952
15.0,5,1.18903
35.0,6,1.195104
48.0,10,1.201577
-10.0,5,1.206478
-5.0,5,1.208794
2.0,7,1.214889
-15.0,8,1.221061
25.0,6,1.22409
83.0,9,1.230275
105.0,8,1.235039
65.0,9,1.244347
3.0,15,1.251693
53.0,10,1.259229
-7.0,5,1.262316
-105.0,6,1.268755
63.0,8,1.275089
58.0,9,1.281467
95.0,12,1.287528
72.0,6,1.293094
-12.0,11,1.301234
83.0,10,1.307831
86.0,17,1.318019
85.0,6,1.322453
71.0,16,1.332681
90.0,8,1.336967
15.0,5,1.341048
18.0,6,1.346528
-40.0,9,1.351795
-10.0,5,1.355881
50.0,8,1.360945
65.0,9,1.36735
58.0,7,1.371937
40.0,8,1.377098
132.0,17,1.387496
108.0,13,1.396052
58.0,8,1.401577
110.0,8,1.406768
43.0,11,1.412866
-104.0,16,1.42351
-19.0,12,1.430832
30.0,8,1.434959
80.0,9,1.440102
80.0,11,1.449197
3.0,6,1.451224
6.0,9,1.457314
27.0,11,1.463472
33.0,9,1.470901
113.0,9,1.477388
20.0,6,1.480433
3.0,9,1.486682
-30.0,5,1.49123
45.0,7,1.495711
68.0,7,1.49944
40.0,9,1.50604
118.0,14,1.517066
97.0,10,1.523426
102.0,13,1.531174
-80.0,7,1.535219
63.0,9,1.541484
-10.0,7,1.546285
15.0,7,1.548629
70.0,9,1.555073
128.0,15,1.563513
15.0,7,1.567901
-35.0,9,1.573508
130.0,7,1.577544
80.0,6,1.584106
39.0,9,1.588348
111.0,11,1.595451
72.0,8,1.599882
-5.0,13,1.607482
38.0,7,1.611891
55.0,7,1.615677
50.0,6,1.620801
143.0,9,1.628268
-15.0,5,1.629937
88.0,9,1.636444
-2.0,9,1.640558
100.0,10,1.647147
55.0,7,1.65159
98.0,9,1.656679
5.0,14,1.665032
118.0,10,1.671197
95.0,8,1.675973
-120.0,6,1.680413
-25.0,5,1.682573
10.0,13,1.690522
83.0,6,1.694782
55.0,10,1.699564
75.0,9,1.70587
-9.0,11,1.711758
65.0,11,1.719254
140.0,10,1.725548
53.0,10,1.729806
50.0,10,1.738171
173.0,15,1.745026
78.0,7,1.750143
45.0,10,1.755926
85.0,10,1.762824
55.0,5,1.765046
32.0,15,1.773383
5.0,9,1.7787
183.0,13,1.789204
155.0,10,1.794086
-10.0,5,1.796291
55.0,5,1.800508
20.0,9,1.807333
105.0,6,1.809652
30.0,5,1.814022
35.0,6,1.816513
-30.0,8,1.822592
103.0,12,1.830139
10.0,9,1.834613
-110.0,7,1.838737
18.0,9,1.845399
25.0,5,1.849848
53.0,9,1.854501
25.0,5,1.856898
18.0,12,1.865958
-30.0,7,1.871093
110.0,8,1.875402
15.0,9,1.880848
1.0,11,1.889066
-62.0,5,1.892369
80.0,9,1.89619
135.0,10,1.902897
57.0,9,1.909151
-5.0,13,1.915486
147.0,8,1.920577
-15.0,9,1.926687
35.0,9,1.933184
205.0,12,1.939346
138.0,12,1.94678
88.0,9,1.95886
-7.0,8,1.965252
15.0,9,1.969887
8.0,10,1.975902
-65.0,9,1.98157
-65.0,6,1.987597
-20.0,10,1.993233
25.0,8,1.998127
70.0,7,2.003236
35.0,6,2.007217
83.0,11,2.013532
-30.0,5,2.016043
-20.0,6,2.020089
88.0,9,2.027122
131.0,11,2.033649
48.0,11,2.042041
28.0,16,2.050212
115.0,8,2.058243
77.0,9,2.064372
85.0,13,2.07261
25.0,6,2.078879
35.0,10,2.085374
118.0,8,2.092747
-30.0,7,2.096795
33.0,9,2.100852
138.0,16,2.110644
115.0,15,2.121903
71.0,12,2.128988
130.0,9,2.134175
-60.0,6,2.140644
45.0,11,2.145854
35.0,12,2.152989
11.0,11,2.160116
73.0,8,2.167969
25.0,6,2.172503
90.0,9,2.177607
75.0,9,2.18277
141.0,17,2.194327
40.0,7,2.198488
97.0,18,2.209045
80.0,8,2.213351
55.0,8,2.221129
-40.0,5,2.223485
73.0,6,2.226549
55.0,3,2.228772
68.0,6,2.23431
68.0,9,2.238443
5.0,9,2.244005
20.0,7,2.248302
-40.0,5,2.251545
-35.0,6,2.256197
140.0,9,2.261687
143.0,12,2.268294
53.0,9,2.275513
65.0,10,2.281824
90.0,8,2.286892
-38.0,7,2.289932
15.0,5,2.297057
-50.0,7,2.300206
10.0,8,2.304253
-25.0,7,2.309598
0.0,9,2.315954
85.0,7,2.320271
72.0,9,2.326103
125.0,11,2.333191
-35.0,6,2.338712
-53.0,9,2.343921
-20.0,8,2.348986
100.0,8,2.353054
35.0,9,2.360509
-50.0,14,2.369034
-90.0,6,2.371572
-20.0,6,2.376716
40.0,9,2.38276
53.0,9,2.389503
20.0,9,2.39456
153.0,10,2.401855
-45.0,3,2.40617
60.0,6,2.408201
95.0,14,2.41675
90.0,10,2.421832
30.0,7,2.428407
61.0,11,2.435815
160.0,11,2.440916
53.0,9,2.448279
-20.0,6,2.452758
-85.0,5,2.454779
65.0,11,2.461937
-25.0,9,2.466105
15.0,5,2.472798
80.0,6,2.475854
65.0,6,2.482202
45.0,10,2.487463
60.0,9,2.495521
68.0,11,2.501628
35.0,9,2.507729
43.0,9,2.513922
35.0,4,2.519211
0.0,11,2.525453
10.0,10,2.531889
39.0,9,2.536
-10.0,6,2.543281
71.0,7,2.546309
5.0,6,2.5514
45.0,9,2.557651
45.0,9,2.56419
65.0,8,2.569264
45.0,9,2.574859
55.0,14,2.582983
-88.0,11,2.590286
-85.0,7,2.595357
0.0,5,2.597401
43.0,6,2.60045
55.0,6,2.6067
42.0,9,2.611823
95.0,10,2.619014
0.0,8,2.624085
-35.0,6,2.628606
-75.0,5,2.631662
115.0,5,2.635751
83.0,14,2.642869
35.0,9,2.649076
33.0,10,2.655165
40.0,10,2.660247
-59.0,9,2.666479
40.0,5,2.670861
-40.0,8,2.676046
165.0,12,2.683608
40.0,9,2.68869
47.0,9,2.695062
123.0,11,2.702182
48.0,11,2.708277
-3.0,9,2.713714
140.0,7,2.720155
63.0,11,2.726509
66.0,10,2.73157
0.0,9,2.736659
52.0,12,2.745149
105.0,12,2.751213
75.0,12,2.758582
-12.0,11,2.76664
80.0,10,2.775609
155.0,12,2.783165
-50.0,9,2.78958
150.0,9,2.794853
-10.0,9,2.802702
65.0,12,2.811257
-25.0,5,2.815438
123.0,10,2.821862
150.0,9,2.829359
150.0,9,2.835738
65.0,10,2.840825
78.0,12,2.846987
-20.0,8,2.854621
40.0,9,2.859738
85.0,9,2.865836
70.0,8,2.871248
-43.0,5,2.875574
55.0,11,2.882851
65.0,10,2.888005
113.0,9,2.893108
45.0,11,2.902071
84.0,9,2.908165
10.0,5,2.91221
30.0,10,2.918444
45.0,7,2.924781
128.0,9,2.92991
95.0,6,2.934994
93.0,11,2.939119
0.0,5,2.945647
161.0,11,2.949704
61.0,12,2.957845
21.0,9,2.964685
50.0,10,2.972368
140.0,10,2.97963
-44.0,16,2.987893
30.0,10,2.994312
40.0,7,3.001675
108.0,14,3.008863
95.0,9,3.017014
55.0,5,3.020075
62.0,9,3.027157
99.0,15,3.036297
-33.0,15,3.044618
-40.0,6,3.047681
15.0,9,3.054455
-32.0,11,3.062312
50.0,6,3.067458
-70.0,5,3.071119
75.0,10,3.077731
15.0,5,3.082164
140.0,10,3.088416
58.0,9,3.093516
-55.0,5,3.099041
60.0,9,3.105147
88.0,11,3.112284
-42.0,9,3.116402
110.0,9,3.123544
35.0,8,3.129608
19.0,13,3.137897
80.0,9,3.145011
-32.0,6,3.149486
135.0,8,3.154578
50.0,6,3.16068
73.0,9,3.16596
-5.0,6,3.171024
53.0,9,3.176644
35.0,10,3.182117
70.0,10,3.189305
63.0,7,3.194439
60.0,10,3.201539
96.0,14,3.208609
50.0,9,3.21498
3.0,7,3.220378
93.0,15,3.229597
90.0,9,3.233647
120.0,9,3.23985
121.0,10,3.246411
105.0,9,3.251479
-17.0,9,3.257772
85.0,12,3.263925
73.0,9,3.271412
0.0,9,3.276596
113.0,11,3.283719
50.0,15,3.294283
65.0,8,3.300543
60.0,9,3.305001
10.0,5,3.308054
-23.0,9,3.313131
-10.0,6,3.321624
60.0,9,3.330475
5.0,9,3.334725
-10.0,6,3.339363
-20.0,9,3.346178
-40.0,2,3.348199
10.0,8,3.35282
75.0,10,3.35944
113.0,9,3.365745
73.0,12,3.373499
67.0,10,3.381442
95.0,7,3.385893
175.0,12,3.394768
67.0,9,3.399863
50.0,7,3.404472
85.0,7,3.407629
10.0,5,3.414092
35.0,10,3.420575
27.0,9,3.424234
90.0,7,3.430149
40.0,5,3.433838
17.0,9,3.441509
85.0,8,3.445717
210.0,14,3.452924
70.0,11,3.461674
60.0,9,3.465763
-90.0,9,3.470865
55.0,9,3.476686
41.0,11,3.483272
148.0,11,3.490408
38.0,10,3.498014
105.0,9,3.503091
37.0,7,3.508411
20.0,9,3.51455
25.0,9,3.518757
-25.0,9,3.523931
51.0,12,3.533455
80.0,10,3.539735
151.0,10,3.544859
75.0,9,3.552833
125.0,11,3.559994
15.0,9,3.566257
95.0,8,3.571153
85.0,7,3.573746
35.0,6,3.580273
-40.0,7,3.58568
10.0,8,3.590191
120.0,12,3.597588
30.0,10,3.604944
135.0,9,3.610121
121.0,11,3.616361
80.0,10,3.624541
28.0,7,3.628616
80.0,5,3.634872
-52.0,5,3.63689
64.0,11,3.642972
45.0,6,3.64746
153.0,11,3.654701
45.0,13,3.660834
35.0,15,3.670074
125.0,9,3.677754
-2.0,5,3.679797
68.0,10,3.688118
60.0,7,3.692168
70.0,14,3.701838
-10.0,9,3.705926
120.0,14,3.715309
25.0,9,3.720497
158.0,9,3.727994
60.0,9,3.734068
108.0,5,3.737152
38.0,13,3.744345
132.0,7,3.750603
141.0,9,3.755753
151.0,9,3.759796
15.0,9,3.76693
58.0,9,3.774011
10.0,9,3.779136
135.0,8,3.784233
35.0,6,3.788426
-30.0,11,3.795596
88.0,9,3.801699
26.0,10,3.807397
98.0,11,3.814577
-5.0,11,3.823066
10.0,8,3.828141
-100.0,5,3.831177
70.0,11,3.838422
95.0,10,3.844785
183.0,10,3.851947
-75.0,6,3.855005
40.0,10,3.862132
100.0,10,3.869648
-25.0,8,3.874213
58.0,10,3.880281
35.0,9,3.884562
65.0,9,3.891062
-65.0,8,3.896142
95.0,14,3.904437
40.0,11,3.909691
-57.0,9,3.917078
67.0,9,3.922436
45.0,9,3.927557
80.0,9,3.933905
85.0,6,3.940344
0.0,5,3.942371
-22.0,8,3.947529
20.0,9,3.952706
65.0,17,3.965433
113.0,13,3.971549
58.0,9,3.977273
15.0,7,3.981335
60.0,6,3.986851
48.0,11,3.993191
5.0,9,3.999322
100.0,11,4.006436
163.0,12,4.015011
-50.0,7,4.019096
35.0,9,4.024357
78.0,7,4.028531
-15.0,6,4.033976
10.0,9,4.041321
30.0,12,4.048432
87.0,10,4.053595
50.0,6,4.060593
72.0,13,4.069048
20.0,10,4.074215
-10.0,7,4.079316
153.0,8,4.085857
95.0,12,4.093384
-10.0,9,4.098526
60.0,12,4.10671
15.0,6,4.113266
30.0,9,4.118383
83.0,9,4.123521
80.0,8,4.127604
123.0,9,4.13743
28.0,9,4.142489
65.0,10,4.147731
80.0,10,4.153825
35.0,7,4.16037
10.0,9,4.165482
85.0,9,4.16952
193.0,11,4.177186
111.0,9,4.183525
15.0,9,4.188593
0.0,5,4.192637
52.0,12,4.200799
10.0,6,4.205338
70.0,7,4.209442
88.0,11,4.216752
30.0,7,4.219802
90.0,9,4.228285
-30.0,5,4.23132
110.0,8,4.236515
50.0,9,4.241841
120.0,13,4.25147
5.0,8,4.255524
55.0,9,4.262774
152.0,12,4.269957
-70.0,5,4.274327
103.0,9,4.279392
-7.0,5,4.282432
205.0,11,4.289895
20.0,9,4.296365
110.0,5,4.301445
73.0,6,4.303466
-15.0,8,4.308792
58.0,12,4.31592
40.0,9,4.321206
30.0,9,4.327571
105.0,9,4.332637
100.0,13,4.342337
-12.0,6,4.346375
10.0,12,4.354827
45.0,13,4.361955
142.0,10,4.36908
20.0,13,4.378286
98.0,9,4.383537
176.0,15,4.392663
135.0,10,4.398948
60.0,9,4.404041
40.0,12,4.411153
95.0,9,4.417359
20.0,9,4.425496
53.0,9,4.429996
103.0,16,4.439096
80.0,9,4.444272
60.0,9,4.452898
5.0,9,4.456966
10.0,6,4.460122
201.0,14,4.46818
-37.0,5,4.47324
100.0,13,4.480656
135.0,8,4.486744
105.0,10,4.492857
68.0,9,4.499944
45.0,9,4.505051
102.0,11,4.512194
53.0,10,4.518291
-75.0,9,4.524896
68.0,9,4.530002
20.0,9,4.535089
115.0,9,4.542299
85.0,8,4.549678
85.0,9,4.554803
13.0,9,4.559877
-5.0,9,4.56395
63.0,9,4.572209
15.0,9,4.576851
95.0,5,4.579909
95.0,6,4.584233
80.0,10,4.59132
60.0,6,4.595462
95.0,9,4.60058
123.0,9,4.606716
110.0,9,4.613106
98.0,8,4.618191
111.0,12,4.625415
50.0,9,4.631633
120.0,13,4.642198
13.0,14,4.649325
123.0,10,4.656471
70.0,10,4.661623
85.0,14,4.673618
163.0,11,4.682839
33.0,5,4.685552
30.0,5,4.688597
110.0,11,4.697912
118.0,9,4.704025
-85.0,10,4.710513
40.0,7,4.713564
0.0,9,4.722131
33.0,10,4.727237
-60.0,6,4.732328
-65.0,11,4.736416
60.0,5,4.742704
70.0,10,4.748878
70.0,6,4.755056
93.0,12,4.762201
118.0,9,4.769355
110.0,9,4.774129
40.0,8,4.779208
-30.0,11,4.78628
64.0,9,4.792532
28.0,9,4.798634
93.0,10,4.806157
91.0,10,4.812305
118.0,11,4.821582
85.0,7,4.825796
38.0,8,4.830894
12.0,9,4.836356
45.0,9,4.843717
135.0,9,4.849825
20.0,5,4.85389
56.0,9,4.85908
70.0,14,4.872113
36.0,9,4.877458
125.0,10,4.881703
75.0,9,4.888831
-10.0,9,4.895946
155.0,11,4.904271
28.0,9,4.90934
45.0,9,4.914712
103.0,11,4.922903
80.0,9,4.92833
43.0,10,4.93546
15.0,9,4.940515
53.0,8,4.94832
50.0,11,4.956489
5.0,11,4.962718
25.0,9,4.969804
128.0,8,4.97679
85.0,10,4.981946
68.0,6,4.986048
62.0,9,4.991099
30.0,9,4.998913
45.0,10,5.005011
108.0,9,5.010229
45.0,8,5.015301
135.0,9,5.021771
90.0,11,5.029122
80.0,9,5.034214
80.0,8,5.038424
50.0,20,5.051064
-4.0,7,5.05717
20.0,9,5.065498
-18.0,7,5.070708
50.0,8,5.076596
105.0,9,5.081998
50.0,9,5.086246
55.0,8,5.091368
40.0,8,5.097901
75.0,9,5.104231
88.0,9,5.109282
-17.0,5,5.112337
45.0,7,5.119177
-13.0,12,5.127213
-55.0,5,5.130255
48.0,11,5.139407
126.0,9,5.146595
35.0,11,5.152841
0.0,5,5.154876
51.0,10,5.16115
25.0,5,5.165502
88.0,8,5.170584
55.0,10,5.176172
45.0,7,5.180562
13.0,9,5.187109
72.0,7,5.192202
73.0,10,5.200393
10.0,5,5.202436
110.0,6,5.206923
95.0,6,5.212042
85.0,7,5.216286
53.0,10,5.221353
-50.0,8,5.227969
-55.0,5,5.23
95.0,12,5.237124
75.0,6,5.242313
96.0,11,5.250524
158.0,13,5.258014
45.0,9,5.263105
-70.0,9,5.268162
85.0,9,5.276813
56.0,10,5.282945
123.0,7,5.287187
45.0,7,5.292604
105.0,9,5.299745
113.0,9,5.3042
75.0,15,5.313354
182.0,9,5.318461
35.0,9,5.325793
115.0,9,5.331901
73.0,10,5.337181
52.0,9,5.342266
65.0,9,5.350998
60.0,7,5.354135
10.0,5,5.358181
-20.0,9,5.363241
81.0,15,5.37377
45.0,9,5.379162
-2.0,6,5.383307
163.0,12,5.390441
130.0,11,5.40014
93.0,10,5.406323
109.0,12,5.412652
128.0,10,5.417757
105.0,9,5.425403
75.0,15,5.434724
108.0,12,5.44191
118.0,5,5.444221
50.0,10,5.452816
90.0,13,5.460171
50.0,6,5.464757
45.0,10,5.471093
103.0,8,5.478875
88.0,10,5.486057
35.0,8,5.490125
90.0,9,5.496578
40.0,10,5.503707
32.0,11,5.510923
40.0,11,5.517078
-115.0,7,5.521147
83.0,6,5.526525
30.0,7,5.531631
38.0,11,5.537851
70.0,10,5.543978
30.0,9,5.55156
20.0,13,5.560178
53.0,9,5.566309
50.0,7,5.571702
96.0,21,5.58725
-15.0,7,5.591343
55.0,13,5.598446
117.0,9,5.603626
109.0,12,5.611771
54.0,15,5.620996
80.0,7,5.626069
28.0,9,5.630121
-85.0,5,5.635586
20.0,11,5.642677
143.0,9,5.647771
80.0,9,5.652848
20.0,7,5.657966
78.0,10,5.66628
-30.0,7,5.669333
15.0,6,5.674953
45.0,6,5.678688
110.0,10,5.686821
25.0,6,5.689892
47.0,9,5.69702
50.0,9,5.704155
135.0,11,5.711481
30.0,5,5.714522
20.0,11,5.721623
26.0,13,5.731301
70.0,10,5.735511
-60.0,3,5.738565
35.0,9,5.743856
60.0,11,5.753331
60.0,9,5.758487
-30.0,10,5.765655
20.0,9,5.769726
115.0,10,5.779583
138.0,14,5.786692
-25.0,9,5.791891
125.0,12,5.799034
93.0,9,5.806635
103.0,9,5.812796
125.0,9,5.817856
55.0,7,5.822922
95.0,8,5.830323
60.0,9,5.835598
65.0,8,5.841702
75.0,10,5.848802
85.0,12,5.859074
15.0,9,5.864149
40.0,11,5.871729
35.0,9,5.877363
-5.0,6,5.881927
15.0,5,5.886037
60.0,9,5.89111
-60.0,11,5.900236
100.0,9,5.907356
48.0,8,5.912526
78.0,16,5.922711
113.0,10,5.927311
40.0,9,5.936549
5.0,11,5.941609
110.0,12,5.948937
20.0,9,5.955001
145.0,13,5.964386
68.0,9,5.969466
71.0,11,5.975917
85.0,12,5.984113
153.0,8,5.990437
83.0,8,5.9955
101.0,13,6.002616
60.0,9,6.010327
25.0,8,6.017874
38.0,19,6.029075
8.0,8,6.035193
161.0,13,6.048167
40.0,5,6.054453
10.0,9,6.061714
208.0,12,6.070025
-5.0,6,6.073066
90.0,10,6.082251
95.0,7,6.087308
-25.0,12,6.094424
108.0,13,6.102785
45.0,9,6.110032
85.0,9,6.114511
120.0,11,6.122673
-5.0,7,6.126754
50.0,11,6.137187
0.0,6,6.140227
-5.0,3,6.14328
55.0,9,6.148584
100.0,9,6.154983
110.0,5,6.160094
115.0,9,6.164214
15.0,7,6.169301
5.0,9,6.175755
151.0,10,6.18083
15.0,9,6.187941
58.0,7,6.191021
124.0,13,6.20157
26.0,13,6.208789
50.0,9,6.21491
55.0,10,6.221375
-75.0,6,6.225822
125.0,9,6.23105
-65.0,6,6.23617
111.0,10,6.241693
145.0,11,6.250901
53.0,12,6.258103
70.0,12,6.266233
-60.0,3,6.268392
70.0,10,6.276009
105.0,14,6.284598
30.0,9,6.290698
85.0,10,6.297786
25.0,8,6.304934
48.0,11,6.310011
45.0,6,6.315376
125.0,9,6.320464
85.0,8,6.326898
-25.0,11,6.334401
20.0,6,6.336451
20.0,9,6.343533
55.0,5,6.34951
40.0,7,6.354624
6.0,9,6.358679
40.0,9,6.364165
60.0,9,6.370682
105.0,8,6.3758
10.0,7,6.381157
15.0,10,6.387287
5.0,7,6.392635
105.0,8,6.397755
3.0,9,6.404834
105.0,9,6.40889
85.0,10,6.416862
98.0,10,6.423968
118.0,8,6.429432
43.0,11,6.435599
5.0,9,6.443036
90.0,9,6.449836
55.0,8,6.490907
35.0,6,6.496215
40.0,13,6.504748
48.0,10,6.509113
105.0,9,6.515726
112.0,9,6.520056
65.0,8,6.526415
15.0,7,6.530611
103.0,9,6.536417
98.0,10,6.54073
108.0,10,6.550453
95.0,10,6.555849
95.0,9,6.562289
15.0,12,6.569718
55.0,6,6.574208
76.0,9,6.579894
-15.0,5,6.583362
-32.0,9,6.587688
105.0,5,6.592062
15.0,8,6.597708
43.0,11,6.606329
171.0,13,6.614313
0.0,9,6.620796
0.0,10,6.627464
65.0,9,6.631856
20.0,4,6.634015
55.0,5,6.63897
35.0,6,6.643409
50.0,6,6.645705
-25.0,7,6.650236
42.0,10,6.658713
35.0,9,6.665165
101.0,9,6.670236
143.0,9,6.675416
78.0,8,6.682036
-5.0,6,6.686789
10.0,8,6.692003
55.0,8,6.697697
85.0,7,6.70497
123.0,9,6.710637
120.0,9,6.714901
120.0,10,6.722991
25.0,5,6.726709
120.0,10,6.732071
22.0,9,6.739391
68.0,9,6.745477
58.0,10,6.75297
155.0,10,6.75969
95.0,10,6.765803
130.0,10,6.773205
95.0,8,6.780319
20.0,2,6.781341
20.0,9,6.788156
-20.0,6,6.791398
60.0,10,6.799901
20.0,8,6.80497
0.0,9,6.810049
70.0,10,6.815583
-20.0,7,6.823108
45.0,9,6.828342
42.0,9,6.834728
-67.0,11,6.838825
75.0,9,6.848561
58.0,11,6.85369
108.0,9,6.860065
52.0,6,6.863714
73.0,9,6.871195
50.0,9,6.877424
63.0,9,6.883631
61.0,13,6.890848
0.0,8,6.897997
75.0,9,6.90338
-85.0,7,6.907437
60.0,9,6.911927
83.0,9,6.920488
31.0,10,6.92683
-45.0,6,6.931918
68.0,7,6.936175
63.0,10,6.94673
68.0,10,6.953574
132.0,9,6.960976
0.0,8,6.965401
165.0,9,6.973101
90.0,6,6.975448
-10.0,7,6.979861
189.0,9,6.984692
105.0,9,6.994525
70.0,9,6.999588
50.0,9,7.00479
90.0,9,7.010155
45.0,8,7.01756
21.0,13,7.026581
75.0,11,7.032702
7.0,9,7.040192
170.0,8,7.046339
55.0,11,7.052421
120.0,9,7.06038
95.0,9,7.06597
76.0,8,7.073664
75.0,8,7.079029
0.0,10,7.084727
58.0,9,7.090808
121.0,9,7.09732
-5.0,9,7.102574
43.0,11,7.109472
88.0,9,7.11435
53.0,9,7.121337
-45.0,5,7.125422
-5.0,6,7.127804
65.0,9,7.133441
45.0,9,7.141958
98.0,12,7.1496
85.0,9,7.155152
50.0,9,7.159695
25.0,10,7.169484
25.0,5,7.172526
38.0,12,7.180314
65.0,8,7.185405
63.0,13,7.195345
25.0,8,7.200429
168.0,8,7.204499
40.0,10,7.212929
65.0,8,7.220645
128.0,12,7.227768
83.0,12,7.236076
100.0,13,7.244565
5.0,9,7.250739
98.0,10,7.257961
135.0,11,7.263028
45.0,9,7.270382
75.0,9,7.277863
50.0,6,7.280893
88.0,11,7.28678
128.0,9,7.292322
15.0,5,7.298847
