#{"t_start": 1774714095.9442787, "env_id": "None"}
r,l,t
-60.0,9,0.005904
-95.0,9,0.007757
50.0,6,0.008879
-50.0,11,0.009969
43.0,9,0.012985
-5.0,8,0.015221
-45.0,11,0.017579
23.0,10,0.018579
0.0,10,0.021888
3.0,8,0.022887
165.0,13,0.023887
-95.0,7,0.024887
-100.0,5,0.026005
8.0,9,0.029574
-100.0,9,0.031575
-15.0,6,0.031575
145.0,10,0.035485
60.0,9,0.035485
-65.0,6,0.036717
25.0,9,0.037807
-30.0,5,0.039877
-57.0,9,0.04082
45.0,8,0.04182
21.0,11,0.04382
20.0,6,0.047328
-15.0,8,0.048328
10.0,7,0.049327
-55.0,7,0.050327
-105.0,9,0.051826
-90.0,6,0.053077
-80.0,10,0.054177
50.0,6,0.055287
-20.0,7,0.057318
-50.0,9,0.058318
-90.0,8,0.059318
58.0,10,0.060318
43.0,9,0.064187
-7.0,6,0.065285
-45.0,5,0.066398
122.0,18,0.067507
78.0,12,0.070719
40.0,11,0.071719
-7.0,6,0.072719
-15.0,6,0.073719
117.0,9,0.076337
75.0,8,0.076337
30.0,9,0.077759
2.0,22,0.081247
-85.0,5,0.082668
30.0,9,0.083938
36.0,12,0.085031
35.0,9,0.086139
-65.0,9,0.088271
5.0,9,0.08927
39.0,15,0.090636
45.0,12,0.091729
107.0,10,0.099672
25.0,9,0.104919
145.0,9,0.111377
5.0,7,0.114159
3.0,13,0.124899
45.0,12,0.131363
57.0,9,0.135453
40.0,9,0.140763
78.0,7,0.148866
90.0,9,0.153463
-87.0,9,0.157488
73.0,7,0.162633
65.0,9,0.169675
-95.0,7,0.173768
52.0,9,0.179111
95.0,9,0.185351
10.0,9,0.191905
-32.0,12,0.199024
60.0,11,0.205206
-80.0,7,0.208789
45.0,7,0.215645
72.0,9,0.219881
-105.0,12,0.227266
-100.0,5,0.232494
-2.0,9,0.238858
-25.0,9,0.243191
0.0,5,0.246277
3.0,9,0.254389
123.0,10,0.26056
-7.0,10,0.2671
20.0,7,0.269629
45.0,12,0.27616
-55.0,5,0.282568
10.0,10,0.287669
38.0,7,0.29283
-40.0,5,0.296013
73.0,8,0.302367
-40.0,7,0.306473
107.0,13,0.313604
78.0,8,0.317673
73.0,9,0.323943
108.0,8,0.328757
15.0,9,0.336331
0.0,5,0.338355
-25.0,9,0.344353
-10.0,8,0.349885
-30.0,8,0.353934
6.0,10,0.360319
75.0,6,0.365548
-80.0,9,0.370747
45.0,8,0.375837
-55.0,5,0.379904
-35.0,5,0.384298
-15.0,8,0.388623
0.0,8,0.393756
-60.0,6,0.395785
108.0,10,0.403964
-40.0,8,0.408128
-100.0,5,0.41018
8.0,9,0.415259
-62.0,5,0.421743
10.0,9,0.426869
0.0,9,0.430973
213.0,15,0.440276
15.0,12,0.448564
-5.0,11,0.454703
8.0,9,0.458759
-15.0,9,0.463955
-60.0,8,0.470911
90.0,7,0.474983
-40.0,6,0.478478
33.0,9,0.48458
196.0,15,0.495527
-35.0,6,0.499608
30.0,9,0.505714
-88.0,8,0.510893
36.0,19,0.523416
95.0,12,0.529833
128.0,10,0.534914
55.0,6,0.538971
-80.0,7,0.546022
15.0,15,0.554327
-27.0,11,0.561529
33.0,8,0.566656
35.0,8,0.573241
-33.0,9,0.57732
60.0,9,0.584404
15.0,11,0.590572
150.0,13,0.604146
-45.0,8,0.609036
103.0,9,0.614166
35.0,7,0.619238
-5.0,6,0.62338
-11.0,9,0.627409
45.0,10,0.63589
45.0,10,0.640999
-55.0,5,0.648477
52.0,16,0.656528
61.0,10,0.66061
96.0,15,0.670398
65.0,5,0.674985
165.0,15,0.68438
85.0,13,0.690501
133.0,8,0.695715
5.0,11,0.704306
47.0,9,0.708345
68.0,10,0.715153
-30.0,5,0.718187
40.0,5,0.722642
35.0,13,0.72881
38.0,7,0.733888
95.0,10,0.740096
85.0,12,0.74962
-75.0,9,0.753721
42.0,6,0.755759
45.0,5,0.763786
113.0,8,0.773232
-32.0,9,0.781147
100.0,14,0.790565
-2.0,7,0.796253
20.0,7,0.802819
102.0,10,0.807858
55.0,13,0.81812
42.0,10,0.822244
90.0,9,0.829548
0.0,8,0.833618
-2.0,10,0.842122
-22.0,8,0.847279
20.0,6,0.851945
0.0,10,0.859066
-25.0,5,0.862142
113.0,13,0.869633
65.0,11,0.87971
-42.0,9,0.884111
45.0,8,0.88919
3.0,6,0.894263
25.0,8,0.903153
-7.0,5,0.906234
130.0,11,0.9123
28.0,10,0.917922
-75.0,8,0.925293
0.0,9,0.93244
-70.0,8,0.936523
125.0,6,0.939579
65.0,9,0.946127
-5.0,6,0.951251
12.0,9,0.955305
55.0,12,0.962528
-20.0,7,0.969925
125.0,9,0.974071
-57.0,7,0.979281
5.0,9,0.984397
133.0,9,0.990929
117.0,6,0.997391
-30.0,8,1.002568
100.0,10,1.007799
-85.0,5,1.015042
28.0,4,1.0181
28.0,9,1.023492
38.0,7,1.029643
73.0,9,1.03722
138.0,9,1.042573
-35.0,6,1.047633
