#{"t_start": 1774740083.3338466, "env_id": "None"}
r,l,t
115.0,11,0.024894
-10.0,9,0.032899
-45.0,8,0.039166
95.0,8,0.04594
110.0,19,0.069416
-17.0,10,0.077101
-60.0,3,0.079299
105.0,8,0.086086
0.0,9,0.092679
63.0,5,0.095966
63.0,11,0.11359
78.0,9,0.121315
85.0,7,0.126797
5.0,7,0.131649
10.0,9,0.138241
60.0,7,0.146234
10.0,8,0.152919
54.0,9,0.168507
-50.0,7,0.174891
28.0,7,0.179895
206.0,11,0.187896
186.0,11,0.196895
80.0,9,0.21196
190.0,10,0.218959
177.0,15,0.229964
200.0,15,0.241471
105.0,6,0.245475
144.0,10,0.257601
45.0,9,0.264699
108.0,6,0.26987
119.0,9,0.275954
201.0,15,0.286174
144.0,13,0.301437
199.0,14,0.311858
183.0,13,0.321125
93.0,11,0.329254
59.0,10,0.341337
83.0,5,0.345342
87.0,9,0.3666
90.0,7,0.3726
135.0,10,0.381029
183.0,12,0.3951
179.0,11,0.405097
115.0,8,0.412098
233.0,15,0.424098
161.0,15,0.436716
160.0,11,0.451258
113.0,10,0.459344
273.0,21,0.474344
208.0,14,0.489411
196.0,9,0.496411
142.0,11,0.504411
214.0,11,0.512707
206.0,15,0.530005
183.0,10,0.539506
168.0,11,0.547235
160.0,11,0.555539
158.0,14,0.565669
197.0,9,0.577832
251.0,17,0.590372
120.0,10,0.59746
284.0,20,0.616052
183.0,13,0.625053
274.0,19,0.638152
134.0,9,0.644801
141.0,10,0.658465
202.0,11,0.66565
163.0,10,0.675832
209.0,11,0.684442
160.0,10,0.691711
228.0,16,0.708497
156.0,10,0.715692
178.0,12,0.725031
300.0,17,0.741165
346.0,18,0.75417
126.0,9,0.760628
108.0,10,0.768743
176.0,13,0.78296
148.0,10,0.78996
226.0,15,0.79996
221.0,10,0.809188
182.0,16,0.828478
95.0,8,0.834837
279.0,16,0.846655
236.0,14,0.856628
278.0,21,0.882746
172.0,14,0.89401
130.0,10,0.901234
272.0,16,0.919473
261.0,16,0.930478
225.0,11,0.938478
218.0,9,0.947002
110.0,9,0.953002
163.0,9,0.966436
211.0,13,0.976755
321.0,17,0.98963
106.0,10,1.000613
140.0,9,1.014503
302.0,21,1.030589
135.0,7,1.035784
208.0,16,1.046619
28.0,5,1.057042
153.0,8,1.063042
72.0,9,1.070365
277.0,16,1.083994
67.0,5,1.088298
132.0,10,1.100937
202.0,14,1.1111
224.0,16,1.123123
125.0,9,1.130126
193.0,14,1.147737
138.0,15,1.158892
268.0,14,1.168101
178.0,15,1.177522
45.0,5,1.187581
92.0,9,1.195106
231.0,15,1.20532
186.0,11,1.214543
197.0,10,1.222698
148.0,15,1.239187
120.0,9,1.2457
248.0,18,1.2587
178.0,12,1.274181
173.0,9,1.281445
264.0,16,1.293887
304.0,20,1.307892
280.0,18,1.329422
240.0,18,1.342424
131.0,9,1.348747
200.0,13,1.364588
269.0,13,1.374589
140.0,6,1.383036
163.0,6,1.386109
67.0,8,1.391926
126.0,12,1.405272
215.0,11,1.414333
146.0,9,1.420334
307.0,16,1.431919
45.0,7,1.43699
171.0,13,1.451904
394.0,25,1.467903
77.0,6,1.47297
239.0,11,1.481273
174.0,11,1.495414
145.0,10,1.501924
-5.0,6,1.50696
227.0,13,1.515066
161.0,12,1.528878
246.0,15,1.542067
156.0,9,1.548599
188.0,10,1.557241
210.0,9,1.564368
219.0,11,1.578276
184.0,13,1.589363
132.0,9,1.596807
277.0,15,1.607363
222.0,12,1.620785
107.0,9,1.62789
225.0,11,1.636104
162.0,8,1.642104
41.0,7,1.647617
206.0,12,1.660072
294.0,17,1.676285
248.0,16,1.688286
167.0,11,1.698286
199.0,11,1.710311
164.0,9,1.71639
117.0,9,1.722469
178.0,10,1.729739
228.0,10,1.73684
233.0,12,1.7493
292.0,17,1.763353
43.0,7,1.768353
266.0,13,1.778126
147.0,12,1.796555
287.0,15,1.807322
100.0,9,1.813322
222.0,11,1.821322
412.0,20,1.841119
52.0,5,1.844631
116.0,10,1.851807
137.0,8,1.857919
231.0,16,1.871235
95.0,9,1.883501
173.0,10,1.89074
113.0,8,1.897805
220.0,12,1.906017
195.0,14,1.920161
198.0,13,1.930211
330.0,20,1.941371
94.0,6,1.946883
145.0,8,1.952883
205.0,14,1.967652
148.0,9,1.97465
213.0,12,1.982651
264.0,15,1.994652
100.0,5,2.00359
219.0,14,2.014616
204.0,11,2.022615
156.0,9,2.02862
195.0,9,2.03462
180.0,9,2.047668
259.0,17,2.061667
127.0,9,2.068666
179.0,9,2.074667
356.0,27,2.097969
289.0,13,2.109454
208.0,12,2.117906
205.0,11,2.131848
261.0,12,2.141235
265.0,13,2.149812
65.0,9,2.156811
154.0,9,2.163811
174.0,13,2.178212
344.0,22,2.201557
149.0,10,2.208645
101.0,6,2.22725
197.0,13,2.24343
141.0,9,2.250435
95.0,9,2.256434
223.0,11,2.265435
343.0,21,2.286072
125.0,6,2.290185
392.0,23,2.306831
460.0,26,2.329387
178.0,9,2.336441
291.0,16,2.347954
192.0,11,2.36053
195.0,9,2.366801
594.0,35,2.391269
122.0,9,2.402662
474.0,24,2.420208
103.0,9,2.427322
158.0,8,2.43351
350.0,21,2.454101
190.0,12,2.462615
246.0,13,2.471614
112.0,7,2.476614
306.0,13,2.491164
